"mu","theta","sigma","genotype"
-6.79291519081167,0.793441951087536,0.747483087647322,"wt"
-6.79907957886554,0.775092811975497,0.72664737333896,"wt"
-6.79907946266167,0.775092906002081,0.726648109718196,"wt"
-6.79291526734484,0.793443898334135,0.747483674105718,"wt"
-6.79125652158441,0.770524851554299,0.741825572685889,"wt"
-6.7929149150441,0.793443385050718,0.74748347743363,"wt"
-6.79734590361682,0.752954159969665,0.721452351305257,"wt"
-6.79734602779309,0.752952059010712,0.721451381725255,"wt"
-6.79125628881696,0.770522693535559,0.741824405024417,"wt"
-6.79125672369764,0.770523482106224,0.74182495011497,"wt"
-6.80074218833995,0.799504964703722,0.732540904084976,"wt"
-6.79125656538492,0.77052534454531,0.741825802481317,"wt"
-6.80074209882874,0.799508421882299,0.7325427143135,"wt"
-6.80074185235571,0.799502477173006,0.732539849479534,"wt"
-6.79734590736468,0.752954180628461,0.721452434109201,"wt"
-6.79291472489576,0.793443040376005,0.747483472848511,"wt"
-6.7912564838605,0.77052308689376,0.741824754514892,"wt"
-6.79734572755541,0.752952661493323,0.721451837702297,"wt"
-6.80074197253571,0.79950834158928,0.732542537734444,"wt"
-6.79907981063754,0.775096828926186,0.726649385258366,"wt"
-6.8007421284993,0.799508117340947,0.732542574308538,"wt"
-6.80691888878629,0.781498291843344,0.711635769838618,"wt"
-6.7990797116356,0.775095029272647,0.726648852281985,"wt"
-6.80074153843606,0.799506066514633,0.732542273328702,"wt"
-6.80858313353183,0.807759759927414,0.71784438438047,"wt"
-6.79734600180711,0.752952461553354,0.721451749229174,"wt"
-6.79734586617217,0.752955696525905,0.721453133070014,"wt"
-6.79291501648575,0.793443153554726,0.747483646196759,"wt"
-6.79125665165853,0.77052587656218,0.741826047598576,"wt"
-6.79291525439779,0.793439680117922,0.747481705410188,"wt"
-6.79734578133041,0.752954678314234,0.72145269145151,"wt"
-6.79907992989052,0.775097097987233,0.726649754529634,"wt"
-6.79291556244968,0.793440102365121,0.747481612211497,"wt"
-6.80074190682121,0.799505083188417,0.73254104085433,"wt"
-6.80517944702018,0.75782367579682,0.706199536288441,"wt"
-6.80336642786583,0.736317658104339,0.701412252743148,"wt"
-6.79907974450735,0.775097711247326,0.72664979281535,"wt"
-6.8007421571991,0.799508787515906,0.732542829719304,"wt"
-6.79907951706033,0.775096853785815,0.72664948202631,"wt"
-6.80336646802667,0.736317025529771,0.701412115525298,"wt"
-6.79125672497221,0.770525509144208,0.741825878419409,"wt"
-6.79907984899378,0.775097946306585,0.726650022230437,"wt"
-6.79125679797037,0.770524382801152,0.741825358206401,"wt"
-6.79291512228171,0.793443927887654,0.747483910844309,"wt"
-6.79907991371134,0.775095110221569,0.726648756801874,"wt"
-6.79907983848301,0.775095643152316,0.726649112665588,"wt"
-6.79734585618398,0.752954154021311,0.721452517990254,"wt"
-6.79734611933765,0.752953356490859,0.721451948837574,"wt"
-6.8085835439145,0.807761082312712,0.717845360752216,"wt"
-6.79907984931226,0.775097595405031,0.72664986101956,"wt"
-6.80691897438885,0.781497916231144,0.711635692863248,"wt"
-6.79291513566228,0.793444022770424,0.747484006173556,"wt"
-6.79125665165972,0.770523502982024,0.741824734737102,"wt"
-6.7912566872703,0.770525395008483,0.741825838762048,"wt"
-6.79734585179083,0.752954189520952,0.721452548044438,"wt"
-6.79291527976467,0.793442618773937,0.74748315651054,"wt"
-6.79907954289984,0.775098333294303,0.726650190656119,"wt"
-6.79291515816636,0.793443922841306,0.747483916579284,"wt"
-6.79734584698772,0.752954845493738,0.721452806247545,"wt"
-6.80336622013715,0.736318532829825,0.701412740768154,"wt"
-6.79734576371918,0.752954285729666,0.721452517665687,"wt"
-6.79125692041449,0.770524707774462,0.741825563578112,"wt"
-6.80074189610379,0.799505489919003,0.732541435591939,"wt"
-6.79734590830589,0.75295419132294,0.72145249939404,"wt"
-6.79125689601825,0.770523699854343,0.741824658012073,"wt"
-6.79291516930703,0.793444005072486,0.747483970298325,"wt"
-6.80074229775859,0.799506219213318,0.732541860584303,"wt"
-6.79734572382679,0.752953126570465,0.721452027062926,"wt"
-6.80858335369996,0.807762434552896,0.717846104318151,"wt"
-6.80336640216392,0.736318333878671,0.701412612728892,"wt"
-6.8051793926864,0.757824937059937,0.706200589856664,"wt"
-6.79291510442115,0.793442626193983,0.747483216284142,"wt"
-6.79734582111522,0.752954153067291,0.721452469968925,"wt"
-6.79907983514867,0.775096768369584,0.726649300038511,"wt"
-6.79125671435958,0.770526007499811,0.741826134694976,"wt"
-6.80858340488152,0.807762611020051,0.717846156741649,"wt"
-6.79907981451112,0.775097763159916,0.726649941681195,"wt"
-6.80074213255449,0.799508558629293,0.732542778862298,"wt"
